S0,S1,S2,S3,S4
9.455773981076267543e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.442260189237327350e-02
0.000000000000000000e+00,9.825185497963203618e-01,1.202002807429399578e-78,1.748145020367965902e-02,4.895849546736309591e-226
0.000000000000000000e+00,1.383538288974104001e-58,7.135803574463952526e-01,2.303499478269197820e-01,5.606969472668486831e-02
3.114529604062796715e-264,1.372729333514681113e-02,6.609477529856158662e-02,9.201779313662915571e-01,3.392178818531548918e-50
2.351754984972316206e-02,1.398522721763271610e-241,1.407444017737167323e-25,2.383704427803069389e-02,9.526454058722461093e-01
