S0,S1,S2,S3,S4
9.590762325332711323e-37,9.999999999999996669e-01,3.127268279488155277e-26,3.295531259094281867e-226,2.919993900758309044e-16
4.691531026696866378e-14,9.303198367133174163e-01,5.655229560403298621e-45,1.098451645878125465e-182,6.968016328663571846e-02
1.531039169817476214e-48,1.181225625613158583e-05,6.854181841133120189e-21,6.334300679957250990e-01,3.665581197480187736e-01
1.422959188003048575e-02,6.477361218582113697e-09,2.844632946691329212e-02,7.737426976122439015e-01,1.835813745634511662e-01
1.878812539416545929e-20,5.327598540200031985e-02,2.751503001222704858e-02,1.303655890714253696e-01,7.888433955143473453e-01
