S0,S1,S2,S3,S4
7.235787585883005635e-01,6.030896424650414017e-15,5.210453066630692243e-02,5.442546561571307317e-95,2.243167107453863940e-01
3.800028848640337992e-55,9.056306838125267600e-01,2.614741980572807267e-02,6.822189638174516735e-02,9.975643629234478235e-84
1.656013850029855114e-02,1.427843769838042266e-02,9.691614186726371649e-01,1.214618454041728588e-44,5.128683907931082281e-09
1.544010838888346340e-173,1.012506430507619376e-01,1.897798553684340613e-68,8.987493569492380763e-01,1.282573487916338569e-284
1.095152181127857088e-01,9.284416871879806206e-53,1.256473205450032398e-20,2.891699758500502418e-136,8.904847818872142495e-01
