S0,S1,S2,S3,S4
8.121171403749956053e-01,3.609016183216864904e-02,9.833787825640710933e-07,6.688030630772122398e-02,8.491140810633195091e-02
9.091986847301192221e-02,9.090801304641965563e-01,1.386436345671434885e-55,8.374999495698130220e-40,1.062791593063081301e-09
1.000000000000000000e+00,4.735300314224033187e-47,1.005741413007464430e-65,2.135094266110902344e-28,6.957533968796319274e-18
4.210222235360885218e-02,2.049062400887413543e-38,4.366175583465383000e-13,9.263173467031490249e-01,3.158043094280552771e-02
3.230770965704539699e-01,3.905962954032262548e-16,3.797750800131170603e-41,7.280766712773743926e-48,6.769229034295455305e-01
