S0,S1,S2,S3,S4
7.124997139004225488e-01,3.044197986180387921e-02,7.576663881041367787e-02,1.812892332025432263e-01,2.434224816536434590e-06
2.912621644035127619e-02,8.737864077796758666e-01,2.429117043258643700e-33,9.708737577997272883e-02,4.728463126863398274e-34
1.004993015572660103e-01,1.280528568263435141e-01,5.422970107596096971e-41,7.714478416163905727e-01,1.218235835989286731e-37
3.083850010863135871e-02,9.345955852523610274e-02,5.312597371266523233e-02,8.037522146435773784e-01,1.882375300988980288e-02
6.836426670283340945e-02,7.306534309657901040e-16,6.426131727834637545e-23,5.479696200489500481e-04,9.310877636771168753e-01
