S0,S1,S2,S3,S4
7.880875369748892819e-08,1.450143880697718213e-01,8.549855331214744059e-01,3.753616025809250403e-153,3.050055403759766340e-84
4.715447506595586702e-02,7.775050830345545672e-01,3.532476971622552919e-02,4.470726891809125321e-08,1.400156274759951636e-01
9.805477102797611755e-01,4.842256492835649755e-04,2.938617471576933105e-05,1.428310200824074053e-44,1.893867789623956271e-02
1.069445863472481873e-119,2.472041600736399712e-12,3.422306559899608136e-78,9.636504109926887773e-01,3.634958900483910293e-02
1.339153732231495403e-50,1.939828429078581107e-01,3.537411777291449289e-02,2.012218425397861027e-02,7.505208550652486821e-01
