S0,S1,S2,S3,S4
6.435333362400517523e-13,4.009161883025704704e-166,1.179944003967979880e-04,5.643947879962033712e-53,9.998820055989596778e-01
0.000000000000000000e+00,8.362996558999108432e-01,2.383350287595701841e-20,1.637003441000891568e-01,3.844023911951505419e-196
1.018849784453077391e-20,1.764253005102419183e-02,8.231490654376936167e-01,7.069943483991318611e-02,8.850896967136906435e-02
5.527525694413998799e-82,6.585339530238275285e-02,4.247469537341249657e-01,4.766656025355541781e-01,3.273404842793813108e-02
3.440829967641950042e-13,4.460478483841097593e-107,7.206428612614135254e-02,3.603889634734183667e-02,8.918968175261726694e-01
