S0,S1,S2,S3,S4
4.519851392291611702e-01,4.606541442804114877e-09,4.893468167739146168e-01,1.662383719692057175e-70,5.866803939038280763e-02
1.712079880247233562e-09,9.132786412364160000e-01,2.247788346423234759e-02,6.424347358727179602e-02,3.304289901988676889e-34
5.598743004234413290e-01,7.072635066762528178e-02,3.693993482491081948e-01,3.024002488653609381e-21,6.598251234268487643e-10
1.058173899559587429e-34,2.637980154618682974e-02,8.127343555970940861e-13,9.736201984530004072e-01,7.586190441169471890e-86
2.881435796810802308e-02,1.973452594276010846e-61,5.666875003326252439e-21,1.242714901201195992e-115,9.711856420318919492e-01
