S0,S1,S2,S3,S4
1.225352739827290128e-15,6.285786624140611289e-01,3.714209289972051353e-01,4.085887323875110493e-07,3.633182139917053869e-37
4.645778647290057378e-02,6.424411504545693985e-01,2.472271177356790695e-01,6.387394533684992437e-02,8.151745188884960355e-16
3.618723722062859550e-05,7.617950994082070548e-02,8.560665079501023067e-01,5.922283721005864449e-02,8.494957661797643625e-03
1.029871414359665778e-11,1.591749668829180175e-02,9.716387825954099500e-02,8.869186250418685802e-01,2.017605351337326487e-19
5.360647163007862993e-44,2.524775834580618786e-02,2.327809093795543917e-15,1.088431472505263253e-19,9.747522416541913870e-01
