S0,S1,S2,S3,S4
7.469792220400738314e-01,2.174171564827981274e-19,3.860848463183686505e-75,2.530207268183278790e-01,5.114159816418864136e-08
1.538531477853428697e-01,8.461468522146571303e-01,0.000000000000000000e+00,4.959586861257267235e-69,1.578192678883347964e-223
1.069711970762714758e-02,0.000000000000000000e+00,7.771761076230162546e-01,4.961640079644357574e-25,2.121267726693566169e-01
4.559783326315217655e-01,3.325427921128583653e-01,9.643637904614943412e-02,1.149361046206933828e-01,1.063915887768759731e-04
4.649419187088299596e-19,1.242768139882669608e-146,1.702981055750028283e-01,2.051046997060264296e-15,8.297018944249950900e-01
