S0,S1,S2,S3,S4
3.728543479164622143e-01,5.519104654146980149e-01,6.868909671449120336e-20,7.523518666883964590e-02,1.681251486899177575e-52
3.418187350401322849e-02,8.960465364391280163e-01,1.300144484675098619e-02,4.124714137523133317e-02,1.552300383487648962e-02
2.563948870309817749e-34,1.594021217907842422e-10,9.734039697661457380e-01,2.659603007445214551e-02,1.862763716970254539e-102
3.749402992970867765e-01,9.504411869634227323e-07,9.662987921372189916e-24,6.250587502617263036e-01,2.916359138012410194e-57
1.908557548183180002e-54,1.639786243299162435e-02,4.250131748424954842e-158,8.062339892790839370e-68,9.836021375670084277e-01
