S0,S1,S2,S3,S4
6.497605955172668368e-01,1.929377444677850003e-06,3.168692899074785907e-01,1.030755732023729044e-74,3.336818519780983955e-02
3.617784040686305297e-02,9.294472962987925246e-01,1.992181048954640350e-04,3.417564518944900265e-02,2.394031964573293733e-153
1.419741672125392207e-01,2.106692124734614591e-02,8.369589115401145918e-01,1.779984770569521093e-87,2.338032737121911999e-43
5.181277561435050544e-140,4.335832612915099804e-02,1.390241544538462470e-96,9.566416738708489742e-01,0.000000000000000000e+00
2.089641405362684459e-02,1.632503235791494334e-176,5.936155849300420793e-77,0.000000000000000000e+00,9.791035859463731450e-01
