S0,S1,S2,S3,S4
8.058243657284276384e-01,1.421164679476763807e-184,8.710873631982700427e-02,9.617329170307691022e-02,1.089360624866845054e-02
8.958123594724984776e-126,8.805786326761353422e-01,9.861362917553806205e-211,1.291552366240224347e-90,1.194213673238646994e-01
1.249887353910349025e-01,3.080935839626012652e-272,8.214724615146952180e-01,5.353880309426987255e-02,1.499815191537259615e-55
1.769278223198884892e-01,3.499091815677344440e-80,6.525717044225129372e-37,8.230721774383712441e-01,2.417402644938915340e-10
1.238259442222196926e-18,3.911421998586001036e-02,1.896502789837533134e-02,1.840166843201123446e-17,9.419207521157646479e-01
