S0,S1,S2,S3,S4
1.163708143114178413e-137,6.396652656394928860e-01,1.952549881141501242e-01,2.082192533378099181e-136,1.650797462463568510e-01
5.129401274055462451e-02,7.535545041678120004e-01,7.128740518611412225e-02,4.957566804747047408e-14,1.238640779054695495e-01
8.587788837312347601e-02,1.249854274601496368e-01,7.891366841667268872e-01,5.400163353570532264e-154,5.400016830271218527e-36
3.036557915708652416e-97,2.410216011187629776e-22,1.158601652893723232e-81,1.091736378693133839e-25,1.000000000000000000e+00
2.445112910726865083e-02,8.332959943207716991e-02,8.875217949785541363e-03,1.365483179231762045e-07,8.833439169625507681e-01
