S0,S1,S2,S3,S4
8.495650103801603015e-01,2.991607959476769616e-12,3.987371332826977035e-30,2.877120159053310131e-02,1.216637880263148619e-01
9.917725760090488696e-19,9.636774499132083616e-01,7.971702006157214778e-240,1.040579376692418624e-169,3.632255008679161068e-02
6.972015330761708631e-03,7.690621101115812622e-196,9.494337184861221246e-01,4.359426618311619539e-02,5.189841577667733148e-89
6.571783615078164074e-06,3.460006075853061867e-105,1.536952337013210712e-01,8.462981945150639396e-01,6.420817977085771060e-26
3.100176220460536536e-01,7.748316086637670186e-02,1.706222399863114145e-83,6.742988021034741935e-38,6.124992170875696029e-01
