S0,S1,S2,S3,S4
7.994207201578399369e-01,1.097859059188164361e-17,6.917182477896129111e-02,9.241701778630654479e-03,1.221657532845680377e-01
3.153006579618571319e-03,9.240365764647232545e-12,9.968469934111410247e-01,1.272787811726023379e-52,2.443717515474149966e-21
1.836253830431120726e-01,1.787328743879813184e-13,7.959817802295854339e-01,1.127161780877851500e-36,2.039283672712381354e-02
2.194934870819823317e-02,2.894188054526332763e-95,1.046361844398810401e-22,9.776896259009328904e-01,3.610253908689335807e-04
3.669688426236455414e-01,2.045552354268312321e-68,1.252188901995216820e-56,3.318217305576221944e-06,6.330278391590488107e-01
