S0,S1,S2,S3,S4
8.432775577077589180e-01,1.809444820665930984e-18,1.288465847486257865e-01,2.787585754361520535e-02,8.591067218948061565e-104
2.278602807736707848e-15,8.875761342464713044e-01,2.015747193551166357e-44,3.792179027251316864e-02,7.450207548101317467e-02
3.561608277778165188e-02,2.280039987670618887e-53,9.643839172212478328e-01,9.704634667816852308e-13,6.574019115121614925e-171
2.568444678169809774e-05,3.034606872534556868e-02,2.486913405872130311e-07,9.696279981365321099e-01,5.791670465706248941e-52
9.180327246288260967e-144,1.372183471184579839e-01,1.753960045659261415e-272,4.399960162537963819e-69,8.627816528815420716e-01
