S0,S1,S2,S3,S4
5.837045118775502361e-01,4.848463673240970689e-02,2.812490595640247948e-01,3.555396672422843188e-29,8.656179182601538014e-02
2.081076927468477056e-01,7.918877898352586486e-01,1.660842734641821084e-11,7.533234113519352483e-14,4.517401209765898821e-06
9.419533110714221891e-02,6.011154864063594782e-13,8.020135015905738296e-01,9.439146523891422252e-03,9.435202077779149266e-02
2.288585701835332878e-27,3.300594214667561949e-02,6.332098638191100795e-95,9.669940578533243736e-01,3.441076846179237901e-99
7.402225323878032504e-02,3.637630399449395621e-07,1.111111716416372103e-01,7.985231277991495451e-89,8.148662113565424692e-01
