S0,S1,S2,S3,S4
8.532811792091701264e-01,1.496055040165648985e-05,8.784496324456156333e-40,1.467038602404281966e-01,1.819200653302526213e-260
2.259491509558650760e-02,9.652497659948018338e-01,1.214561197882735484e-02,9.706930784160343383e-06,1.139704484181878279e-44
1.987693699167524259e-48,2.074206162073289825e-02,9.571923552976949745e-01,3.233696640803079963e-30,2.206558308157214460e-02
3.013625875393859399e-01,8.750507818237338031e-02,5.660303564386425034e-36,6.111323342782406520e-01,4.073768301769861257e-217
0.000000000000000000e+00,6.602837293696342888e-87,6.009706596975684934e-02,1.083956718339350272e-258,9.399029340302431645e-01
